item,number,thisN,thisTrialN,thisRepN,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,resting.started,fixation.started,fixation.stopped,resting.stopped,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.016409166000812547,0.026381333000244922,0.026381333000244922,1.4551142910004273,j,1.4038648749992717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-11_17h47.27.694,resting_state_demo,2024.2.4,None,2025-06-11 17h47.51.664210 +0800,
,,,,,,,,,,,,,,,,,,,,,,,1.4551693330013222,1.4604415000012523,1.773938915999679,1.7513470000012603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-11_17h47.27.694,resting_state_demo,2024.2.4,None,2025-06-11 17h47.51.664210 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7526495410002099,1.773938915999679,1.773938915999679,1.773938915999679,3.3830111250008486,None,None,5.0,a,1.6046559159985918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-11_17h47.27.694,resting_state_demo,2024.2.4,None,2025-06-11 17h47.51.664210 +0800,
,,,,,,,,,,,,,,,,,,,,,,,3.383035958000619,3.3877219580008386,3.6813323750011477,3.671903874999771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-11_17h47.27.694,resting_state_demo,2024.2.4,None,2025-06-11 17h47.51.664210 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6719296660012333,3.6813323750011477,4.673375874999692,4.6677646250009275,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-11_17h47.27.694,resting_state_demo,2024.2.4,None,2025-06-11 17h47.51.664210 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.667814624999664,4.673375874999692,6.665720625000176,6.657930583000052,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-11_17h47.27.694,resting_state_demo,2024.2.4,None,2025-06-11 17h47.51.664210 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6579702500002895,6.674127250000311,10.673642416000803,10.668454708000354,,,,,,,,,,,,,,,,,,,999,001,2025-06-11_17h47.27.694,resting_state_demo,2024.2.4,None,2025-06-11 17h47.51.664210 +0800,
,,,,,,,,,,,,,,,,,,,,,,,10.668495457999597,10.673642416000803,10.964691166000193,10.957876874999783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-11_17h47.27.694,resting_state_demo,2024.2.4,None,2025-06-11 17h47.51.664210 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95913337500133,10.98784225000054,10.98784225000054,10.98784225000054,11.69296150000082,None,None,5.0,a,0.7012588750003488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-11_17h47.27.694,resting_state_demo,2024.2.4,None,2025-06-11 17h47.51.664210 +0800,
,,,,,,,,,,,,,,,,,,,,,,,11.692985125000632,11.69791079100105,12.012646541001232,11.98384495800019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-11_17h47.27.694,resting_state_demo,2024.2.4,None,2025-06-11 17h47.51.664210 +0800,
