item,number,thisN,thisTrialN,thisRepN,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,rest_instruct.started,image_rest_instruct.started,key_resp.started,rest_instruct.stopped,key_resp.keys,key_resp.rt,key_resp.duration,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,resting.started,fixation.started,fixation.stopped,resting.stopped,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.014330709000205388,0.021125834000486066,0.021125834000486066,1.9671125840004606,3,1.9185649169994576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,1.9671750000006796,1.972616917000778,2.2835305840008004,2.262084792000678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26318454200009,2.2835305840008004,2.2835305840008004,2.2835305840008004,17.982440375000806,None,None,7.0,3,15.688136791999568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,17.982468417000746,17.993390874999932,18.28437404200031,18.279079249999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.279116708999936,18.28437404200031,18.28437404200031,39.38091562499994,3,21.093056333000277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,39.38096245900033,39.38501891700071,39.67762220900022,39.669701084000735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.66974525000023,39.67762220900022,39.67762220900022,63.43158770900027,t,23.74489616699975,None,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.431624374999956,63.43673245900027,65.43626020900047,65.43156354200073,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.43159183400076,65.43626020900047,67.43014225000024,67.42140320900035,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,67.42144150000058,67.43014225000024,67.72044262500003,67.71514437499991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,67.71634887500022,67.73536729200077,67.73536729200077,67.73536729200077,95.33892712500074,None,None,6.0,3,27.592395165999733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h07.49.318,resting_state,2024.2.4,None,2025-06-12 14h07.55.549843 +0800,
