item,number,thisN,thisTrialN,thisRepN,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_welcome.started,welcome.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,rest_instruct.started,image_rest_instruct.started,key_resp_rest_instruct.started,rest_instruct.stopped,key_resp_rest_instruct.keys,key_resp_rest_instruct.rt,key_resp_rest_instruct.duration,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,resting.started,fixation.started,fixation.stopped,resting.stopped,emotion_instruct.started,image_emotion_instruct.started,key_resp_emotion_instruct.started,emotion_instruct.stopped,key_resp_emotion_instruct.keys,key_resp_emotion_instruct.rt,key_resp_emotion_instruct.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.009334250000392785,0.02064254200013238,0.02064254200013238,3.522459042000264,j,3.4815466249992824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h24.20.705,resting_state_demo,2024.2.4,None,2025-06-12 14h24.26.005303 +0800,
,,,,,,,,,,,,,,,,,,,,,,,3.522506042000714,3.531876375000138,3.8330336250000983,3.8177371670008142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h24.20.705,resting_state_demo,2024.2.4,None,2025-06-12 14h24.26.005303 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8185779170007663,3.8330336250000983,3.8330336250000983,3.8330336250000983,6.0834300420001455,None,None,3.0,j,2.2341625409999324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h24.20.705,resting_state_demo,2024.2.4,None,2025-06-12 14h24.26.005303 +0800,
,,,,,,,,,,,,,,,,,,,,,,,6.083454500000698,6.096630417000597,6.38475283400021,6.381783499999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h24.20.705,resting_state_demo,2024.2.4,None,2025-06-12 14h24.26.005303 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.381812167000135,6.38475283400021,6.38475283400021,10.33232104200033,j,3.940038832999562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h24.20.705,resting_state_demo,2024.2.4,None,2025-06-12 14h24.26.005303 +0800,
,,,,,,,,,,,,,,,,,,,,,,,10.332355750000715,10.33646470900021,10.63489808400027,10.632030417000351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h24.20.705,resting_state_demo,2024.2.4,None,2025-06-12 14h24.26.005303 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.632054292000248,10.63489808400027,11.634282917000746,11.631844584000646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h24.20.705,resting_state_demo,2024.2.4,None,2025-06-12 14h24.26.005303 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.63187916700008,11.634282917000746,13.630827917000715,13.618344292000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h24.20.705,resting_state_demo,2024.2.4,None,2025-06-12 14h24.26.005303 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.618378625000332,13.630827917000715,17.617420917000345,17.615531500000543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h24.20.705,resting_state_demo,2024.2.4,None,2025-06-12 14h24.26.005303 +0800,
,,,,,,,,,,,,,,,,,,,,,,,17.615556834000017,17.631084625000767,17.917777750000823,17.915731625000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h24.20.705,resting_state_demo,2024.2.4,None,2025-06-12 14h24.26.005303 +0800,
